model_key,protein,uniprot_id,model_type,threshold,qsar_model_run,status,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,confusion_matrix,n_target_bioactivity_datapoints,n_expanded_proteins,n_expanded_bioactivity_datapoints,n_train_samples,n_test_samples,train_class_distribution,test_class_distribution,n_features,similar_proteins
KCNH2_Q12809_B_high,KCNH2,Q12809,B,high,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
KCNH2_Q12809_B_medium,KCNH2,Q12809,B,medium,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
KCNH2_Q12809_B_low,KCNH2,Q12809,B,low,Yes,success,1,1,1,1,1,[[424]],4913,26,468,N/A,N/A,"{'High': '2018 (0.503)', 'Low+Medium': '1996 (0.497)'}","{'Low+Medium': '475 (0.528)', 'High': '424 (0.472)'}",3023,N/A
SCN5A_Q14524_A,SCN5A,Q14524,A,N/A,Yes,success,0.7727272727272727,0.6507936507936507,0.7445887445887446,0.7280701754385965,0.6354166666666666,"[[6, 12], [3, 45]]",329,"","",N/A,N/A,"{'High': '192 (0.730)', 'Low+Medium': '71 (0.270)'}","{'High': '48 (0.727)', 'Low+Medium': '18 (0.273)'}",2063,N/A
SCN5A_Q14524_B_high,SCN5A,Q14524,B,high,Yes,success,0.7727272727272727,0.6507936507936507,0.7445887445887446,0.7280701754385965,0.6354166666666666,"[[6, 12], [3, 45]]",364,6,35,N/A,N/A,"{'High': '225 (0.755)', 'Low+Medium': '73 (0.245)'}","{'High': '48 (0.727)', 'Low+Medium': '18 (0.273)'}",3023,N/A
SCN5A_Q14524_B_medium,SCN5A,Q14524,B,medium,Yes,success,0.803030303030303,0.725966145001597,0.7920211375976308,0.7612481857764877,0.7083333333333333,"[[9, 9], [4, 44]]",2772,30,2443,N/A,N/A,"{'High': '2418 (0.894)', 'Low+Medium': '288 (0.106)'}","{'High': '48 (0.727)', 'Low+Medium': '18 (0.273)'}",3023,N/A
SCN5A_Q14524_B_low,SCN5A,Q14524,B,low,Yes,success,0.8181818181818182,0.7525,0.8104545454545455,0.7802197802197802,0.7361111111111112,"[[10, 8], [4, 44]]",8319,142,7990,N/A,N/A,"{'High': '7652 (0.927)', 'Low+Medium': '601 (0.073)'}","{'High': '48 (0.727)', 'Low+Medium': '18 (0.273)'}",3023,N/A
CACNB1_Q02641_A,CACNB1,Q02641,A,N/A,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
CACNB1_Q02641_B_high,CACNB1,Q02641,B,high,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",3,"",N/A,N/A,N/A,N/A,N/A,N/A
CACNB1_Q02641_B_medium,CACNB1,Q02641,B,medium,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",6,"",N/A,N/A,N/A,N/A,N/A,N/A
CACNB1_Q02641_B_low,CACNB1,Q02641,B,low,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",8,"",N/A,N/A,N/A,N/A,N/A,N/A
CACNA1C_Q13936_unknown,CACNA1C,Q13936,unknown,N/A,No,no_thresholds,N/A,N/A,N/A,N/A,N/A,N/A,"","","",N/A,N/A,N/A,N/A,N/A,N/A
HTR2B_P41595_A,HTR2B,P41595,A,N/A,Yes,success,1,1,1,1,1,[[93]],1180,"","",N/A,N/A,"{'Low+Medium': '573 (0.607)', 'High': '371 (0.393)'}","{'Low+Medium': '143 (0.606)', 'High': '93 (0.394)'}",2063,N/A
HTR2B_P41595_B_high,HTR2B,P41595,B,high,Yes,success,1,1,1,1,1,[[93]],1215,2,35,N/A,N/A,"{'Low+Medium': '580 (0.592)', 'High': '399 (0.408)'}","{'Low+Medium': '143 (0.606)', 'High': '93 (0.394)'}",3023,N/A
HTR2B_P41595_B_medium,HTR2B,P41595,B,medium,Yes,success,1,1,1,1,1,[[93]],7860,14,6680,N/A,N/A,"{'Low+Medium': '3860 (0.506)', 'High': '3764 (0.494)'}","{'Low+Medium': '143 (0.606)', 'High': '93 (0.394)'}",3023,N/A
HTR2B_P41595_B_low,HTR2B,P41595,B,low,Yes,success,1,1,1,1,1,[[93]],60704,208,59873,N/A,N/A,"{'High': '32163 (0.532)', 'Low+Medium': '28305 (0.468)'}","{'Low+Medium': '143 (0.606)', 'High': '93 (0.394)'}",3023,N/A
SLC6A4_P31645_A,SLC6A4,P31645,A,N/A,Yes,success,1,1,1,1,1,[[251]],2958,"","",N/A,N/A,"{'Low+Medium': '1363 (0.576)', 'High': '1003 (0.424)'}","{'Low+Medium': '341 (0.576)', 'High': '251 (0.424)'}",2063,N/A
SLC6A4_P31645_B_high,SLC6A4,P31645,B,high,Yes,success,1,1,1,1,1,[[251]],4981,3,2023,N/A,N/A,"{'Low+Medium': '2601 (0.593)', 'High': '1788 (0.407)'}","{'Low+Medium': '341 (0.576)', 'High': '251 (0.424)'}",3023,N/A
SLC6A4_P31645_B_medium,SLC6A4,P31645,B,medium,Yes,success,1,1,1,1,1,[[251]],9240,12,6282,N/A,N/A,"{'Low+Medium': '5829 (0.674)', 'High': '2819 (0.326)'}","{'Low+Medium': '341 (0.576)', 'High': '251 (0.424)'}",3023,N/A
SLC6A4_P31645_B_low,SLC6A4,P31645,B,low,Yes,success,1,1,1,1,1,[[251]],11878,38,8920,N/A,N/A,"{'Low+Medium': '7916 (0.701)', 'High': '3370 (0.299)'}","{'Low+Medium': '341 (0.576)', 'High': '251 (0.424)'}",3023,N/A
SLC6A3_Q01959_A,SLC6A3,Q01959,A,N/A,Yes,success,0.7363636363636363,0.7342513278683492,0.7363394374806367,0.7323298977232423,0.737439765346742,"[[102, 24, 3], [19, 69, 23], [2, 16, 72]]",1646,"","",N/A,N/A,"{'Low': '515 (0.391)', 'Medium': '441 (0.335)', 'High': '360 (0.274)'}","{'Low': '129 (0.391)', 'Medium': '111 (0.336)', 'High': '90 (0.273)'}",2063,N/A
SLC6A3_Q01959_B_high,SLC6A3,Q01959,B,high,Yes,success,0.7333333333333333,0.7315287637868284,0.7337522692361402,0.7301577492126272,0.7337360616430383,"[[102, 24, 3], [20, 69, 22], [1, 18, 71]]",2814,5,1168,N/A,N/A,"{'High': '844 (0.340)', 'Low': '821 (0.331)', 'Medium': '819 (0.330)'}","{'Low': '129 (0.391)', 'Medium': '111 (0.336)', 'High': '90 (0.273)'}",3023,N/A
SLC6A3_Q01959_B_medium,SLC6A3,Q01959,B,medium,Yes,success,0.7424242424242424,0.7410171985702059,0.7424681715146798,0.739345063538612,0.7434457713527481,"[[102, 24, 3], [19, 71, 21], [3, 15, 72]]",10356,13,8710,N/A,N/A,"{'High': '4508 (0.450)', 'Medium': '3144 (0.314)', 'Low': '2374 (0.237)'}","{'Low': '129 (0.391)', 'Medium': '111 (0.336)', 'High': '90 (0.273)'}",3023,N/A
SLC6A3_Q01959_B_low,SLC6A3,Q01959,B,low,Yes,success,0.7363636363636363,0.7352168139038051,0.7373787695069524,0.7347095502970892,0.7364573876201783,"[[101, 25, 3], [18, 72, 21], [3, 17, 70]]",12667,42,11021,N/A,N/A,"{'High': '4993 (0.405)', 'Medium': '3740 (0.303)', 'Low': '3604 (0.292)'}","{'Low': '129 (0.391)', 'Medium': '111 (0.336)', 'High': '90 (0.273)'}",3023,N/A
SLC6A2_P23975_A,SLC6A2,P23975,A,N/A,Yes,success,1,1,1,1,1,[[158]],2021,"","",N/A,N/A,"{'Low+Medium': '984 (0.609)', 'High': '632 (0.391)'}","{'Low+Medium': '247 (0.610)', 'High': '158 (0.390)'}",2063,N/A
SLC6A2_P23975_B_high,SLC6A2,P23975,B,high,Yes,success,1,1,1,1,1,[[158]],2573,4,552,N/A,N/A,"{'Low+Medium': '1362 (0.628)', 'High': '806 (0.372)'}","{'Low+Medium': '247 (0.610)', 'High': '158 (0.390)'}",3023,N/A
SLC6A2_P23975_B_medium,SLC6A2,P23975,B,medium,Yes,success,1,1,1,1,1,[[158]],10368,14,8347,N/A,N/A,"{'Low+Medium': '5852 (0.587)', 'High': '4111 (0.413)'}","{'Low+Medium': '247 (0.610)', 'High': '158 (0.390)'}",3023,N/A
SLC6A2_P23975_B_low,SLC6A2,P23975,B,low,Yes,success,1,1,1,1,1,[[158]],11878,37,9857,N/A,N/A,"{'Low+Medium': '7054 (0.615)', 'High': '4419 (0.385)'}","{'Low+Medium': '247 (0.610)', 'High': '158 (0.390)'}",3023,N/A
NAT2_P11245_A,NAT2,P11245,A,N/A,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
NAT2_P11245_B_high,NAT2,P11245,B,high,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",3,"",N/A,N/A,N/A,N/A,N/A,N/A
NAT2_P11245_B_medium,NAT2,P11245,B,medium,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",3,"",N/A,N/A,N/A,N/A,N/A,N/A
NAT2_P11245_B_low,NAT2,P11245,B,low,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",3,"",N/A,N/A,N/A,N/A,N/A,N/A
ADRA1A_P35348_A,ADRA1A,P35348,A,N/A,Yes,success,1,1,1,1,1,[[78]],895,"","",N/A,N/A,"{'Low+Medium': '403 (0.563)', 'High': '313 (0.437)'}","{'Low+Medium': '101 (0.564)', 'High': '78 (0.436)'}",2063,N/A
ADRA1A_P35348_B_high,ADRA1A,P35348,B,high,Yes,success,1,1,1,1,1,[[78]],1291,5,396,N/A,N/A,"{'Low+Medium': '596 (0.536)', 'High': '516 (0.464)'}","{'Low+Medium': '101 (0.564)', 'High': '78 (0.436)'}",3023,N/A
ADRA1A_P35348_B_medium,ADRA1A,P35348,B,medium,Yes,success,1,1,1,1,1,[[78]],2839,14,1944,N/A,N/A,"{'Low+Medium': '1552 (0.583)', 'High': '1108 (0.417)'}","{'Low+Medium': '101 (0.564)', 'High': '78 (0.436)'}",3023,N/A
ADRA1A_P35348_B_low,ADRA1A,P35348,B,low,Yes,success,1,1,1,1,1,[[78]],57867,247,57392,N/A,N/A,"{'Low+Medium': '37972 (0.658)', 'High': '19716 (0.342)'}","{'Low+Medium': '101 (0.564)', 'High': '78 (0.436)'}",3023,N/A
ADRA2A_P08913_A,ADRA2A,P08913,A,N/A,Yes,success,0.7358490566037735,0.7210352371642693,0.7260765203552787,0.7206990540323873,0.7307219662058372,"[[25, 6, 0], [10, 17, 8], [0, 4, 36]]",526,"","",N/A,N/A,"{'High': '160 (0.381)', 'Medium': '139 (0.331)', 'Low': '121 (0.288)'}","{'High': '40 (0.377)', 'Medium': '35 (0.330)', 'Low': '31 (0.292)'}",2063,N/A
ADRA2A_P08913_B_high,ADRA2A,P08913,B,high,Yes,success,0.7169811320754716,0.7060313500862282,0.7098993414355241,0.7033388067870826,0.7140552995391705,"[[25, 6, 0], [10, 17, 8], [0, 6, 34]]",895,5,369,N/A,N/A,"{'High': '286 (0.362)', 'Medium': '279 (0.354)', 'Low': '224 (0.284)'}","{'High': '40 (0.377)', 'Medium': '35 (0.330)', 'Low': '31 (0.292)'}",3023,N/A
ADRA2A_P08913_B_medium,ADRA2A,P08913,B,medium,Yes,success,0.7452830188679245,0.7364129595304295,0.7397663039676851,0.7349541930937279,0.7414362519201229,"[[25, 6, 0], [8, 19, 8], [0, 5, 35]]",1260,12,734,N/A,N/A,"{'Medium': '431 (0.373)', 'High': '370 (0.321)', 'Low': '353 (0.306)'}","{'High': '40 (0.377)', 'Medium': '35 (0.330)', 'Low': '31 (0.292)'}",3023,N/A
ADRA2A_P08913_B_low,ADRA2A,P08913,B,low,Yes,success,0.7264150943396226,0.718124420759963,0.7205136766223093,0.7160911439981207,0.72357910906298,"[[25, 6, 0], [8, 18, 9], [0, 6, 34]]",102421,430,102173,N/A,N/A,"{'High': '49326 (0.482)', 'Medium': '32291 (0.316)', 'Low': '20698 (0.202)'}","{'High': '40 (0.377)', 'Medium': '35 (0.330)', 'Low': '31 (0.292)'}",3023,N/A
ADRB1_P08588_A,ADRB1,P08588,A,N/A,Yes,success,1,1,1,1,1,[[46]],614,"","",N/A,N/A,"{'Low+Medium': '308 (0.627)', 'High': '183 (0.373)'}","{'Low+Medium': '77 (0.626)', 'High': '46 (0.374)'}",2063,N/A
ADRB1_P08588_B_high,ADRB1,P08588,B,high,Yes,success,1,1,1,1,1,[[46]],710,4,347,N/A,N/A,"{'Low+Medium': '374 (0.637)', 'High': '213 (0.363)'}","{'Low+Medium': '77 (0.626)', 'High': '46 (0.374)'}",3023,N/A
ADRB1_P08588_B_medium,ADRB1,P08588,B,medium,Yes,success,1,1,1,1,1,[[46]],2357,14,1994,N/A,N/A,"{'High': '1130 (0.506)', 'Low+Medium': '1104 (0.494)'}","{'Low+Medium': '77 (0.626)', 'High': '46 (0.374)'}",3023,N/A
ADRB1_P08588_B_low,ADRB1,P08588,B,low,Yes,success,1,1,1,1,1,[[46]],72235,282,72043,N/A,N/A,"{'Low+Medium': '38463 (0.533)', 'High': '33649 (0.467)'}","{'Low+Medium': '77 (0.626)', 'High': '46 (0.374)'}",3023,N/A
ADRB2_P07550_A,ADRB2,P07550,A,N/A,Yes,success,1,1,1,1,1,[[81]],860,"","",N/A,N/A,"{'Low+Medium': '363 (0.528)', 'High': '325 (0.472)'}","{'Low+Medium': '91 (0.529)', 'High': '81 (0.471)'}",2063,N/A
ADRB2_P07550_B_high,ADRB2,P07550,B,high,Yes,success,1,1,1,1,1,[[81]],1167,6,307,N/A,N/A,"{'Low+Medium': '619 (0.622)', 'High': '376 (0.378)'}","{'Low+Medium': '91 (0.529)', 'High': '81 (0.471)'}",3023,N/A
ADRB2_P07550_B_medium,ADRB2,P07550,B,medium,Yes,success,1,1,1,1,1,[[81]],2380,15,1771,N/A,N/A,"{'Low+Medium': '1545 (0.700)', 'High': '663 (0.300)'}","{'Low+Medium': '91 (0.529)', 'High': '81 (0.471)'}",3023,N/A
ADRB2_P07550_B_low,ADRB2,P07550,B,low,Yes,success,1,1,1,1,1,[[81]],58893,190,58364,N/A,N/A,"{'Low+Medium': '44995 (0.766)', 'High': '13726 (0.234)'}","{'Low+Medium': '91 (0.529)', 'High': '81 (0.471)'}",3023,N/A
CNR1_P21554_unknown,CNR1,P21554,unknown,N/A,No,no_thresholds,N/A,N/A,N/A,N/A,N/A,N/A,"","","",N/A,N/A,N/A,N/A,N/A,N/A
CNR2_P34972_A,CNR2,P34972,A,N/A,Yes,success,1,1,1,1,1,[[332]],4295,"","",N/A,N/A,"{'Low+Medium': '2107 (0.613)', 'High': '1329 (0.387)'}","{'Low+Medium': '527 (0.614)', 'High': '332 (0.386)'}",2063,N/A
CNR2_P34972_B_high,CNR2,P34972,B,high,Yes,success,1,1,1,1,1,[[332]],4852,2,557,N/A,N/A,"{'Low+Medium': '2371 (0.594)', 'High': '1622 (0.406)'}","{'Low+Medium': '527 (0.614)', 'High': '332 (0.386)'}",3023,N/A
CNR2_P34972_B_medium,CNR2,P34972,B,medium,Yes,success,1,1,1,1,1,[[332]],4852,2,557,N/A,N/A,"{'Low+Medium': '2371 (0.594)', 'High': '1622 (0.406)'}","{'Low+Medium': '527 (0.614)', 'High': '332 (0.386)'}",3023,N/A
CNR2_P34972_B_low,CNR2,P34972,B,low,Yes,success,1,1,1,1,1,[[332]],37495,76,33457,N/A,N/A,"{'Low+Medium': '22639 (0.618)', 'High': '13997 (0.382)'}","{'Low+Medium': '527 (0.614)', 'High': '332 (0.386)'}",3023,N/A
CHRM1_P11229_A,CHRM1,P11229,A,N/A,Yes,success,0.6606334841628959,0.6636034184165779,0.6598246509802386,0.6623998528108117,0.6650629387557493,"[[47, 18, 3], [18, 46, 17], [5, 14, 53]]",1103,"","",N/A,N/A,"{'Medium': '320 (0.363)', 'High': '289 (0.328)', 'Low': '273 (0.310)'}","{'Medium': '81 (0.367)', 'High': '72 (0.326)', 'Low': '68 (0.308)'}",2063,N/A
CHRM1_P11229_B_high,CHRM1,P11229,B,high,Yes,success,0.6470588235294118,0.650507873234606,0.6455380508979405,0.6487558817993601,0.6527172597434036,"[[47, 19, 2], [18, 43, 20], [4, 15, 53]]",1383,7,280,N/A,N/A,"{'Medium': '393 (0.338)', 'High': '390 (0.336)', 'Low': '379 (0.326)'}","{'Medium': '81 (0.367)', 'High': '72 (0.326)', 'Low': '68 (0.308)'}",3023,N/A
CHRM1_P11229_B_medium,CHRM1,P11229,B,medium,Yes,success,0.6787330316742082,0.681538243224067,0.6786544384921667,0.6816012950636635,0.6815238441055435,"[[47, 17, 4], [15, 50, 16], [5, 14, 53]]",3395,14,2292,N/A,N/A,"{'High': '1400 (0.441)', 'Low': '930 (0.293)', 'Medium': '844 (0.266)'}","{'Medium': '81 (0.367)', 'High': '72 (0.326)', 'Low': '68 (0.308)'}",3023,N/A
CHRM1_P11229_B_low,CHRM1,P11229,B,low,Yes,success,0.6561085972850679,0.6596445474741621,0.6557474979381673,0.6591659951651894,0.6601609779714356,"[[46, 19, 3], [18, 46, 17], [4, 15, 53]]",77025,315,76280,N/A,N/A,"{'High': '37303 (0.486)', 'Medium': '22943 (0.299)', 'Low': '16558 (0.216)'}","{'Medium': '81 (0.367)', 'High': '72 (0.326)', 'Low': '68 (0.308)'}",3023,N/A
CHRM2_P08172_A,CHRM2,P08172,A,N/A,Yes,success,1,1,1,1,1,[[53]],721,"","",N/A,N/A,"{'Low+Medium': '365 (0.634)', 'High': '211 (0.366)'}","{'Low+Medium': '92 (0.634)', 'High': '53 (0.366)'}",2063,N/A
CHRM2_P08172_B_high,CHRM2,P08172,B,high,Yes,success,1,1,1,1,1,[[53]],933,4,212,N/A,N/A,"{'Low+Medium': '506 (0.642)', 'High': '282 (0.358)'}","{'Low+Medium': '92 (0.634)', 'High': '53 (0.366)'}",3023,N/A
CHRM2_P08172_B_medium,CHRM2,P08172,B,medium,Yes,success,1,1,1,1,1,[[53]],1680,10,1035,N/A,N/A,"{'Low+Medium': '1136 (0.740)', 'High': '399 (0.260)'}","{'Low+Medium': '92 (0.634)', 'High': '53 (0.366)'}",3023,N/A
CHRM2_P08172_B_low,CHRM2,P08172,B,low,Yes,success,1,1,1,1,1,[[53]],64808,289,64436,N/A,N/A,"{'Low+Medium': '40478 (0.626)', 'High': '24185 (0.374)'}","{'Low+Medium': '92 (0.634)', 'High': '53 (0.366)'}",3023,N/A
CHRM3_P20309_A,CHRM3,P20309,A,N/A,Yes,success,1,1,1,1,1,[[101]],1209,"","",N/A,N/A,"{'Low+Medium': '563 (0.582)', 'High': '404 (0.418)'}","{'Low+Medium': '141 (0.583)', 'High': '101 (0.417)'}",2063,N/A
CHRM3_P20309_B_high,CHRM3,P20309,B,high,Yes,success,1,1,1,1,1,[[101]],1498,3,289,N/A,N/A,"{'Low+Medium': '771 (0.614)', 'High': '485 (0.386)'}","{'Low+Medium': '141 (0.583)', 'High': '101 (0.417)'}",3023,N/A
CHRM3_P20309_B_medium,CHRM3,P20309,B,medium,Yes,success,1,1,1,1,1,[[101]],4120,19,2987,N/A,N/A,"{'Low+Medium': '3141 (0.810)', 'High': '737 (0.190)'}","{'Low+Medium': '141 (0.583)', 'High': '101 (0.417)'}",3023,N/A
CHRM3_P20309_B_low,CHRM3,P20309,B,low,Yes,success,1,1,1,1,1,[[101]],102499,385,101631,N/A,N/A,"{'Low+Medium': '86140 (0.842)', 'High': '16117 (0.158)'}","{'Low+Medium': '141 (0.583)', 'High': '101 (0.417)'}",3023,N/A
CHRNA10_Q9GZZ6_A,CHRNA10,Q9GZZ6,A,N/A,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
CHRNA10_Q9GZZ6_B_high,CHRNA10,Q9GZZ6,B,high,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",1,"",N/A,N/A,N/A,N/A,N/A,N/A
CHRNA10_Q9GZZ6_B_medium,CHRNA10,Q9GZZ6,B,medium,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",3,"",N/A,N/A,N/A,N/A,N/A,N/A
CHRNA10_Q9GZZ6_B_low,CHRNA10,Q9GZZ6,B,low,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
CHRNA9_Q9UGM1_A,CHRNA9,Q9UGM1,A,N/A,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
CHRNA9_Q9UGM1_B_high,CHRNA9,Q9UGM1,B,high,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",1,"",N/A,N/A,N/A,N/A,N/A,N/A
CHRNA9_Q9UGM1_B_medium,CHRNA9,Q9UGM1,B,medium,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",3,"",N/A,N/A,N/A,N/A,N/A,N/A
CHRNA9_Q9UGM1_B_low,CHRNA9,Q9UGM1,B,low,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
CHRNA7_P36544_A,CHRNA7,P36544,A,N/A,Yes,success,0.8403361344537815,0.8295000377045472,0.8385301183289091,0.8387445887445888,0.8237293144208038,"[[65, 7], [12, 35]]",595,"","",N/A,N/A,"{'Low+Medium': '290 (0.609)', 'High': '186 (0.391)'}","{'Low+Medium': '72 (0.605)', 'High': '47 (0.395)'}",2063,N/A
CHRNA7_P36544_B_high,CHRNA7,P36544,B,high,Yes,success,0.8319327731092437,0.8196969696969697,0.8295645530939648,0.8313008130081301,0.8130910165484634,"[[65, 7], [13, 34]]",1617,5,1022,N/A,N/A,"{'High': '788 (0.526)', 'Low+Medium': '710 (0.474)'}","{'Low+Medium': '72 (0.605)', 'High': '47 (0.395)'}",3023,N/A
CHRNA7_P36544_B_medium,CHRNA7,P36544,B,medium,Yes,success,0.8319327731092437,0.8196969696969697,0.8295645530939648,0.8313008130081301,0.8130910165484634,"[[65, 7], [13, 34]]",1617,6,1022,N/A,N/A,"{'High': '788 (0.526)', 'Low+Medium': '710 (0.474)'}","{'Low+Medium': '72 (0.605)', 'High': '47 (0.395)'}",3023,N/A
CHRNA7_P36544_B_low,CHRNA7,P36544,B,low,Yes,success,0.8403361344537815,0.8295000377045472,0.8385301183289091,0.8387445887445888,0.8237293144208038,"[[65, 7], [12, 35]]",1821,83,1272,N/A,N/A,"{'High': '978 (0.575)', 'Low+Medium': '724 (0.425)'}","{'Low+Medium': '72 (0.605)', 'High': '47 (0.395)'}",3023,N/A
CHRNA3_P32297_unknown,CHRNA3,P32297,unknown,N/A,No,no_thresholds,N/A,N/A,N/A,N/A,N/A,N/A,"","","",N/A,N/A,N/A,N/A,N/A,N/A
CHRNA5_P30532_A,CHRNA5,P30532,A,N/A,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
CHRNA5_P30532_B_high,CHRNA5,P30532,B,high,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",2,"",N/A,N/A,N/A,N/A,N/A,N/A
CHRNA5_P30532_B_medium,CHRNA5,P30532,B,medium,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
CHRNA5_P30532_B_low,CHRNA5,P30532,B,low,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
PDE3A_Q14432_unknown,PDE3A,Q14432,unknown,N/A,No,no_thresholds,N/A,N/A,N/A,N/A,N/A,N/A,"","","",N/A,N/A,N/A,N/A,N/A,N/A
HRH1_P35367_A,HRH1,P35367,A,N/A,Yes,success,1,1,1,1,1,[[66]],945,"","",N/A,N/A,"{'Low+Medium': '493 (0.652)', 'High': '263 (0.348)'}","{'Low+Medium': '123 (0.651)', 'High': '66 (0.349)'}",2063,N/A
HRH1_P35367_B_high,HRH1,P35367,B,high,Yes,success,1,1,1,1,1,[[66]],1460,3,515,N/A,N/A,"{'Low+Medium': '827 (0.651)', 'High': '444 (0.349)'}","{'Low+Medium': '123 (0.651)', 'High': '66 (0.349)'}",3023,N/A
HRH1_P35367_B_medium,HRH1,P35367,B,medium,Yes,success,1,1,1,1,1,[[66]],1460,4,515,N/A,N/A,"{'Low+Medium': '827 (0.651)', 'High': '444 (0.349)'}","{'Low+Medium': '123 (0.651)', 'High': '66 (0.349)'}",3023,N/A
HRH1_P35367_B_low,HRH1,P35367,B,low,Yes,success,1,1,1,1,1,[[66]],91904,379,91313,N/A,N/A,"{'Low+Medium': '53207 (0.580)', 'High': '38508 (0.420)'}","{'Low+Medium': '123 (0.651)', 'High': '66 (0.349)'}",3023,N/A
SLCO1B1_Q9Y6L6_unknown,SLCO1B1,Q9Y6L6,unknown,N/A,No,no_thresholds,N/A,N/A,N/A,N/A,N/A,N/A,"","","",N/A,N/A,N/A,N/A,N/A,N/A
SLCO1B3_Q9NPD5_,SLCO1B3,Q9NPD5,"",N/A,No,"",N/A,N/A,N/A,N/A,N/A,N/A,"","","",N/A,N/A,N/A,N/A,N/A,N/A
SLCO2B1_O94956_A,SLCO2B1,O94956,A,N/A,No,error,N/A,N/A,N/A,N/A,N/A,N/A,33,"","",N/A,N/A,N/A,N/A,N/A,N/A
SLCO2B1_O94956_B_high,SLCO2B1,O94956,B,high,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
SLCO2B1_O94956_B_medium,SLCO2B1,O94956,B,medium,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
SLCO2B1_O94956_B_low,SLCO2B1,O94956,B,low,No,error,N/A,N/A,N/A,N/A,N/A,N/A,269,11,236,N/A,N/A,N/A,N/A,N/A,"Q9JHI3,Q9EPT5,Q9UVX3,Q92959,Q00910,Q9NPD5,P49146,Q9Y6L6,P46720,Q9ERB5,P46721"
GABRA1_P14867_A,GABRA1,P14867,A,N/A,Yes,success,1,1,1,1,1,[[17]],84,"","",N/A,N/A,"{'High': '65 (0.970)', 'Low+Medium': '2 (0.030)'}",{'High': '17 (1.000)'},2063,N/A
GABRA1_P14867_B_high,GABRA1,P14867,B,high,Yes,success,1,1,1,1,1,[[18]],666,18,582,N/A,N/A,"{'High': '643 (0.992)', 'Low+Medium': '5 (0.008)'}",{'High': '18 (1.000)'},3023,N/A
GABRA1_P14867_B_medium,GABRA1,P14867,B,medium,Yes,success,1,1,1,1,1,[[18]],679,28,595,N/A,N/A,"{'High': '656 (0.992)', 'Low+Medium': '5 (0.008)'}",{'High': '18 (1.000)'},3023,N/A
GABRA1_P14867_B_low,GABRA1,P14867,B,low,Yes,success,1,1,1,1,1,[[18]],764,77,680,N/A,N/A,"{'High': '728 (0.976)', 'Low+Medium': '18 (0.024)'}",{'High': '18 (1.000)'},3023,N/A
